epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3268.08,1.24761,1.2522,1.58283,0.76772,0.54551,0.6487,0.38002,0.79686,0.69861,0.99038,0.0011039,0.0011039,0.0011039
80,3308.61,1.23303,1.23449,1.57315,0.73431,0.56326,0.64798,0.38213,0.79449,0.68506,0.98793,0.00105395,0.00105395,0.00105395
81,3349.25,1.10264,0.9767,1.53763,0.7408,0.56281,0.64904,0.38339,0.79273,0.70586,0.99139,0.001004,0.001004,0.001004
82,3387.95,1.10428,0.94274,1.53041,0.7471,0.55946,0.64775,0.3863,0.7909,0.70509,0.98941,0.00095405,0.00095405,0.00095405
83,3426.61,1.06758,0.9063,1.50632,0.7379,0.56449,0.64687,0.38666,0.78855,0.70545,0.99182,0.0009041,0.0009041,0.0009041
84,3465.51,1.07424,0.90427,1.51324,0.75248,0.56505,0.65348,0.3891,0.78667,0.70132,0.98458,0.00085415,0.00085415,0.00085415
85,3503.97,1.05179,0.88788,1.50311,0.77382,0.55835,0.65697,0.39344,0.78229,0.68531,0.97621,0.0008042,0.0008042,0.0008042
86,3542.68,1.05155,0.89027,1.49368,0.75979,0.56281,0.65544,0.3916,0.78543,0.6798,0.98234,0.00075425,0.00075425,0.00075425
87,3580.88,1.03188,0.85774,1.47177,0.753,0.5684,0.65518,0.38974,0.79013,0.69441,0.99148,0.0007043,0.0007043,0.0007043
88,3619.08,1.01969,0.83342,1.45787,0.76052,0.55723,0.65394,0.39244,0.78921,0.69222,0.99243,0.00065435,0.00065435,0.00065435
89,3657.1,1.01952,0.83759,1.46146,0.77871,0.55444,0.65673,0.39277,0.78789,0.68603,0.98831,0.0006044,0.0006044,0.0006044
90,3695.61,1.02217,0.8442,1.4749,0.78272,0.54886,0.65714,0.39228,0.78893,0.68655,0.98996,0.00055445,0.00055445,0.00055445
91,3733.89,1.01876,0.8299,1.45074,0.76199,0.56487,0.65894,0.39545,0.78582,0.69095,0.98375,0.0005045,0.0005045,0.0005045
92,3772.58,0.99454,0.80944,1.43864,0.7616,0.56728,0.65852,0.39515,0.78887,0.69627,0.98631,0.00045455,0.00045455,0.00045455
93,3810.99,0.98155,0.802,1.42648,0.76317,0.56337,0.65685,0.39398,0.78875,0.69741,0.98745,0.0004046,0.0004046,0.0004046
94,3849.13,0.98557,0.79593,1.42835,0.76203,0.56728,0.6568,0.39409,0.79038,0.69629,0.99191,0.00035465,0.00035465,0.00035465
95,3887.46,0.97906,0.79693,1.4304,0.76763,0.56443,0.65553,0.39428,0.79296,0.69777,0.99758,0.0003047,0.0003047,0.0003047
96,3925.94,0.97495,0.76983,1.41416,0.77994,0.55723,0.65712,0.39427,0.79632,0.70594,1.00329,0.00025475,0.00025475,0.00025475
97,3964.12,0.96677,0.77441,1.41462,0.78822,0.56002,0.6577,0.39541,0.79588,0.70677,1.00316,0.0002048,0.0002048,0.0002048
98,4002.61,0.95493,0.76884,1.40669,0.78361,0.56672,0.65967,0.39539,0.79721,0.707,1.00576,0.00015485,0.00015485,0.00015485
99,4040.89,0.95712,0.76514,1.40258,0.78184,0.56226,0.65738,0.39567,0.79617,0.71186,1.00426,0.0001049,0.0001049,0.0001049
100,4079.28,0.9487,0.75641,1.39009,0.77601,0.56393,0.65725,0.39593,0.79825,0.7117,1.00802,5.495e-05,5.495e-05,5.495e-05
