epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,8108.63,1.0622,0.94753,1.5347,0.73227,0.58489,0.65671,0.39736,0.76967,0.66246,1.00034,0.00075425,0.00075425,0.00075425
87,8202.16,1.05948,0.92389,1.52735,0.74425,0.57032,0.65586,0.39908,0.77054,0.66001,1.00303,0.0007043,0.0007043,0.0007043
88,8295.67,1.04304,0.91463,1.50866,0.74835,0.56619,0.65104,0.39805,0.7727,0.65697,1.00509,0.00065435,0.00065435,0.00065435
89,8388.75,1.02911,0.90109,1.50117,0.72437,0.57621,0.64867,0.39616,0.77685,0.65396,1.01154,0.0006044,0.0006044,0.0006044
90,8481.72,1.03643,0.89929,1.52184,0.72498,0.57621,0.64699,0.39535,0.77201,0.6653,1.00517,0.00055445,0.00055445,0.00055445
91,8574.72,1.04321,0.88983,1.5081,0.7324,0.56951,0.64881,0.39726,0.77047,0.65753,1.00406,0.0005045,0.0005045,0.0005045
92,8668.33,1.00969,0.87104,1.48394,0.74923,0.56114,0.65043,0.39739,0.76767,0.66159,1.00125,0.00045455,0.00045455,0.00045455
93,8761.36,0.99954,0.86453,1.47893,0.74737,0.56822,0.65318,0.39879,0.76891,0.66714,1.00304,0.0004046,0.0004046,0.0004046
94,8854.37,0.99409,0.84697,1.47065,0.73769,0.57845,0.65296,0.39909,0.76826,0.6657,1.00253,0.00035465,0.00035465,0.00035465
95,8947.55,0.99522,0.84794,1.47419,0.78163,0.54959,0.65321,0.39999,0.76748,0.66385,1.00196,0.0003047,0.0003047,0.0003047
96,9040.67,0.98287,0.83451,1.45528,0.76584,0.56002,0.65191,0.40131,0.77074,0.66166,1.00616,0.00025475,0.00025475,0.00025475
97,9133.85,0.98357,0.82722,1.46288,0.7662,0.5599,0.65079,0.40067,0.77419,0.65724,1.01164,0.0002048,0.0002048,0.0002048
98,9226.84,0.96823,0.81459,1.44919,0.77547,0.55732,0.65238,0.40119,0.77648,0.65194,1.01394,0.00015485,0.00015485,0.00015485
99,9319.8,0.96189,0.8086,1.44248,0.77519,0.55723,0.65138,0.4018,0.77645,0.65091,1.01362,0.0001049,0.0001049,0.0001049
100,9412.89,0.96591,0.82279,1.44232,0.77432,0.55667,0.65191,0.40211,0.77637,0.6514,1.01325,5.495e-05,5.495e-05,5.495e-05
